  commons: 147,709 onsets / 183 participants
  boost: 15,961 onsets / 16 participants
  corpora (training source): 359,419 onsets / 1807 participants
    commons/low/h10 within_clock               AUC 0.7923 [0.7810, 0.8038]
    commons/low/h10 external_clock             AUC 0.7924 [0.7813, 0.8032]
    commons/low/h10 external_clock_logistic    AUC 0.7908 [0.7798, 0.8016]
    commons/low/h10 within_shape               AUC 0.8132 [0.8039, 0.8223]
    commons/low/h10 external_shape             AUC 0.8116 [0.8023, 0.8203]
    commons/low/h10 external_shape_logistic    AUC 0.7964 [0.7863, 0.8061]
    commons/low/h10 external_shape_over_clock    +0.0192 [+0.0160, +0.0227] ahead on 156/183 participants -- distinguishable, positive
    commons/low/h10 within_shape_over_clock      +0.0209 [+0.0171, +0.0250] ahead on 153/183 participants -- distinguishable, positive
    commons/low/h10 transfer_cost_clock          +0.0001 [-0.0027, +0.0026] ahead on 80/183 participants -- UNPROVEN
    commons/low/h10 transfer_cost_shape          -0.0017 [-0.0040, +0.0005] ahead on 74/183 participants -- UNPROVEN
    commons/low/h10 logistic_cost_clock          -0.0016 [-0.0026, -0.0006] ahead on 73/183 participants -- distinguishable, negative
    commons/low/h10 logistic_cost_shape          -0.0152 [-0.0176, -0.0127] ahead on 27/183 participants -- distinguishable, negative
    commons/low/h10 shipping_shape_over_clock    +0.0056 [+0.0035, +0.0078] ahead on 121/183 participants -- distinguishable, positive
    boost/low/h10 within_clock               AUC 0.7234 [0.6993, 0.7450]
    boost/low/h10 external_clock             AUC 0.7467 [0.7167, 0.7745]
    boost/low/h10 external_clock_logistic    AUC 0.7412 [0.7125, 0.7660]
    boost/low/h10 within_shape               AUC 0.7600 [0.7392, 0.7808]
    boost/low/h10 external_shape             AUC 0.7705 [0.7426, 0.7956]
    boost/low/h10 external_shape_logistic    AUC 0.7529 [0.7262, 0.7760]
    boost/low/h10 external_shape_over_clock    +0.0238 [+0.0167, +0.0335] ahead on 16/16 participants -- distinguishable, positive
    boost/low/h10 within_shape_over_clock      +0.0366 [+0.0257, +0.0518] ahead on 15/16 participants -- distinguishable, positive
    boost/low/h10 transfer_cost_clock          +0.0233 [+0.0149, +0.0309] ahead on 15/16 participants -- distinguishable, positive
    boost/low/h10 transfer_cost_shape          +0.0105 [+0.0011, +0.0184] ahead on 11/16 participants -- distinguishable, positive
    boost/low/h10 logistic_cost_clock          -0.0055 [-0.0102, -0.0025] ahead on 2/16 participants -- distinguishable, negative
    boost/low/h10 logistic_cost_shape          -0.0176 [-0.0237, -0.0131] ahead on 1/16 participants -- distinguishable, negative
    boost/low/h10 shipping_shape_over_clock    +0.0117 [+0.0076, +0.0170] ahead on 15/16 participants -- distinguishable, positive
    commons/low/h20 within_clock               AUC 0.7888 [0.7774, 0.8004]
    commons/low/h20 external_clock             AUC 0.7888 [0.7775, 0.7997]
    commons/low/h20 external_clock_logistic    AUC 0.7871 [0.7759, 0.7979]
    commons/low/h20 within_shape               AUC 0.8170 [0.8079, 0.8260]
    commons/low/h20 external_shape             AUC 0.8153 [0.8063, 0.8239]
    commons/low/h20 external_shape_logistic    AUC 0.7965 [0.7862, 0.8065]
    commons/low/h20 external_shape_over_clock    +0.0264 [+0.0228, +0.0303] ahead on 161/183 participants -- distinguishable, positive
    commons/low/h20 within_shape_over_clock      +0.0282 [+0.0238, +0.0326] ahead on 159/183 participants -- distinguishable, positive
    commons/low/h20 transfer_cost_clock          +0.0000 [-0.0028, +0.0025] ahead on 83/183 participants -- UNPROVEN
    commons/low/h20 transfer_cost_shape          -0.0018 [-0.0040, +0.0001] ahead on 76/183 participants -- UNPROVEN
    commons/low/h20 logistic_cost_clock          -0.0017 [-0.0027, -0.0007] ahead on 75/183 participants -- distinguishable, negative
    commons/low/h20 logistic_cost_shape          -0.0188 [-0.0213, -0.0161] ahead on 21/183 participants -- distinguishable, negative
    commons/low/h20 shipping_shape_over_clock    +0.0093 [+0.0072, +0.0118] ahead on 128/183 participants -- distinguishable, positive
    boost/low/h20 within_clock               AUC 0.7232 [0.6994, 0.7450]
    boost/low/h20 external_clock             AUC 0.7456 [0.7153, 0.7733]
    boost/low/h20 external_clock_logistic    AUC 0.7398 [0.7110, 0.7648]
    boost/low/h20 within_shape               AUC 0.7642 [0.7425, 0.7850]
